,Account Number,Deposit / Withdraw,Amount,Account Balance,TimeStamp
29,351893,Withdraw,1,66626798618,2021-11-04 13:38:06.000745
30,351893,Withdraw,1,66626798617,2021-11-04 13:38:57.272325
31,351893,Withdraw,1,66626798616,2021-11-04 13:45:17.621228
32,351893,Withdraw,1,66626798615,2021-11-04 13:45:58.504631
33,351893,Withdraw,1,66626798614,2021-11-04 13:46:23.620700
34,351893,Withdraw,1,66626798613,2021-11-04 13:46:51.365395
35,351893,Withdraw,1,66626798612,2021-11-04 13:47:11.453387
36,351893,Withdraw,1,66626798611,2021-11-04 13:48:12.186409
37,351893,Withdraw,1,66626798610,2021-11-04 13:51:38.485692
38,351893,Withdraw,1,66626798609,2021-11-04 13:51:50.745774
39,351893,Withdraw,1,66626798608,2021-11-04 13:52:42.991702
40,351893,Withdraw,1,66626798607,2021-11-04 13:55:15.504154
41,351893,Withdraw,1,66626798606,2021-11-04 13:56:21.088040
42,351893,Withdraw,1,66626798605,2021-11-04 13:59:07.781979
43,351893,Withdraw,1,66626798604,2021-11-04 13:59:39.435654
44,351893,Withdraw,1,66626798603,2021-11-04 14:04:37.146523
45,351893,Withdraw,1,66626798602,2021-11-04 14:06:56.408568
46,351893,Withdraw,1,66626798601,2021-11-04 14:07:05.491206
47,351893,Withdraw,1,66626798600,2021-11-04 14:07:55.237027
48,351893,Withdraw,1,66626798599,2021-11-04 14:10:12.800572
49,351893,Withdraw,1,66626798598,2021-11-04 14:10:25.032289
50,351893,Withdraw,1,66626798597,2021-11-04 14:10:43.131356
51,351893,Withdraw,1,66626798596,2021-11-04 14:11:31.443985
52,351893,Deposit,1,66626798597,2021-11-04 14:11:46.512031
53,351893,Withdraw,1,66626798596,2021-11-04 14:12:37.857945
54,351893,Withdraw,1,66626798595,2021-11-04 14:12:57.025209
55,351893,Withdraw,1,66626798594,2021-11-04 14:22:47.325284
56,351893,Withdraw,1,66626798593,2021-11-04 15:21:27.743833
57,351893,Withdraw,1,66626798592,2021-11-04 15:29:35.527042
58,351893,Withdraw,1,66626798591,2021-11-04 15:31:09.321231
59,351893,Withdraw,1,66626798590,2021-11-04 15:32:23.624003
60,351893,Withdraw,1,66626798589,2021-11-04 15:32:58.537144
61,351893,Withdraw,1,66626798588,2021-11-04 15:47:26.325135
62,351893,Withdraw,1,66626798587,2021-11-04 15:57:40.687982
63,351893,Withdraw,1,66626798586,2021-11-04 16:02:56.670149
64,351893,Withdraw,1,66626798585,2021-11-04 16:11:36.129366
65,351893,Withdraw,1,66626798584,2021-11-04 16:13:20.009887
66,351893,Withdraw,1,66626798583,2021-11-04 16:14:15.474397
67,351893,Withdraw,1,66626798582,2021-11-04 16:15:11.907881
68,351893,Withdraw,1,66626798581,2021-11-04 16:15:47.907455
69,351893,Withdraw,1,66626798580,2021-11-04 16:16:39.001760
70,351893,Withdraw,1,66626798579,2021-11-04 16:26:13.922180
71,351893,Withdraw,1,66626798578,2021-11-04 16:28:27.942413
72,351893,Withdraw,1,66626798577,2021-11-04 16:29:11.029684
73,351893,Withdraw,1,66626798576,2021-11-04 16:29:49.088376
74,351893,Withdraw,1,66626798575,2021-11-04 16:30:48.897308
75,351893,Withdraw,1,66626798574,2021-11-04 16:31:35.706508
76,351893,Withdraw,1,66626798573,2021-11-04 16:33:35.518098
77,351893,Deposit,1,66626798574,2021-11-04 16:33:45.128503
78,351893,Deposit,1,66626798575,2021-11-04 18:36:59.957467
79,351893,Withdraw,123,66626798452,2021-11-04 18:38:11.121167
80,351893,Deposit,36294,66626834746,2021-11-04 18:39:36.388044
81,351893,Deposit,567,66626835313,2021-11-05 12:47:11.077855
82,351893,Withdraw,45346,66626789967,2021-11-05 12:47:20.595430
83,351893,Deposit,46242,66626836209,2021-11-05 17:07:45.820872
84,351893,Withdraw,37648765872,28978070337,2021-11-05 17:08:02.606186
